,name,album,artist,danceability,iframe,length,popularity,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,release_date
38,Blue Jeans - RAC Mix,Blue Jeans Remixes,Lana Del Rey,0.694,,218213,46,0.399,0.841,0.00652,0.1,-3.889,0.0524,117.968,4,1/1/2012
39,Run the World (Girls),4,Beyoncé,0.733,,236093,74,0.00496,0.899,4.72E-05,0.372,-4.237,0.143,127.086,4,6/24/2011
40,Drunk in Love (feat. Jay-Z),BEYONCÉ [Platinum Edition],Beyoncé,0.589,,323480,72,0.00969,0.621,0.00104,0.181,-6.902,0.0468,140.03,4,11/24/2014
41,Gold Digger,Late Registration,Kanye West,0.629,,207626,78,0.0195,0.696,0,0.0554,-5.572,0.348,93.034,4,8/30/2005
42,Stronger,Graduation,Kanye West,0.617,,311866,82,0.00564,0.717,0,0.408,-7.858,0.153,103.992,4,9/11/2007
43,Toxic,In The Zone,Britney Spears,0.774,,198800,82,0.0249,0.838,0.025,0.242,-3.914,0.114,143.04,4,11/13/2003
44,Hung Up,Confessions on a Dance Floor,Madonna,0.649,,337733,75,0.0039,0.647,0.161,0.0686,-7.695,0.0452,125.02,4,11/11/2005
45,Love Train,LOVE,Various Artists,0.727,,177360,16,0.278,0.709,0,0.558,-6.32,0.0351,122.424,4,2/9/2009
46,Build Me Up Buttercup - Mono,The Foundations,The Foundations,0.659,,177533,75,0.315,0.513,0,0.283,-7.186,0.0293,133.609,4,1/1/1968
47,Beggin',New Gold Hits,Frankie Valli & The Four Seasons,0.59,,170626,58,0.0651,0.356,0,0.167,-14.656,0.0404,129.639,4,5/1/1967
48,Something's Got A Hold On Me - Single Version,Mad Men: A Musical Companion (1960-1965),Various Artists,0.474,,166466,0,0.675,0.566,0,0.548,-5.913,0.113,150.122,4,1/1/2011
49,Can't Take My Eyes off You,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,0.575,,203240,70,0.566,0.764,1.07E-05,0.0692,-7.448,0.0746,123.821,4,1/14/2003
50,Palco,Luar,Gilberto Gil,0.734,,266173,29,0.511,0.788,0.0774,0.326,-7.361,0.0462,108.325,4,1981
51,Let's Stay Together,Let's Stay Together,Al Green,0.756,,199396,76,0.57,0.397,0.0115,0.0542,-10.701,0.0522,101.985,4,1972
